Width: 253
Height: 212
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000656300000000000000000000000000000012622700000000000000000000000000000001441630000000000000000000000000000003522240000000000000000000000000000005104000000000000000000000000000000166117000000000000000000000000000000014420300000000000000000000000000000000000000
0000000000000000000751460000000000000000000000000000001744000000000000000000000000000000039220000000000000000000000000000000542710000000000000000000000000000003362190000000000000000000000000000001635400000000000000000000000000000003725100000000000000000000000000000000000000
000000000000000000230310510400000000000000000000000000001662281011700000000000000000000000000000104827203000000000000000000000000000025214614110000000000000000000000000000051451363000000000000000000000000000012611744117000000000000000000000000000006337661630000000000000000000000000000000000000
00000000000000000533910219000000000000000000000000000166832685400000000000000000000000000001442481225100000000000000000000000000025127784427000000000000000000000000000123120292949500000000000000000000000000012614710375400000000000000000000000000001448237382200000000000000000000000000000000000000
000000000000000053544410703160000000000000000000000000126228545416381170000000000000000000000000010481216382716300000000000000000000000002521461229962100000000000000000000000005411240102410400000000000000000000000001263361298109117000000000000000000000000003163954393861163000000000000000000000000000000000000
000000000000000230145332355116495122463000000000000000000000001662282457924542541091170000000000000000000000001041165297742915711630000000000000000000000025210127159014682384100000000000000000000000230712043532016410924104000000000000000000000004991171327827010154122500000000000000000000000006320157924542101814516300000000000000000000000000000000000
00000000000000537713048016025167216132273160000000000000000000012614739794801132034105442272270000000000000000000001442419587011611024954474117163000000000000000000003521063321039104122822814629101117110000000000000000000006541216461556252516270204117251000000000000000000001267539115412204126141391176000000000000000000000022624528642195252145165407160163000000000000000000000000000000000
0000000000000171205445936166622510352621051200000000000000000000166228542635122713144012614105495000000000000000000002513912694714116147280145165116252000000000000000000016412398811116123022810611675000000000000000000023041125297936610625102206211660000000000000000000126250126021218602414401261411616500000000000000000000251854571714165832030612191051000000000000000000000000000000000
001101171000000511010414141474703910132510016314825200000001631171040000001262512301414323029892270016614810400000000227604990000006312631414510583866203003521042030000000316605000000151471414148339854650011010465000000011060252000000172243161414321173910242510016310425200000001636014800000012631616314141601729161091440049910410400000000144117166000000316126614142302013738661630022022620300000002511172300000000000000000000000
002451462240000010415517104396460120849538822510352101660000000104453910400000174149910463472754462121214401261011010000000038452284990000061632511045922263927771866280611412300000001164512023000000326322410434974321910570384123011714144000000014545219252000001041472301042203496371651224251025214740000000634526104000001631201261046341115544454109144016614250000000054452281660000012016325110459214481061015741630611011000000049545317000000000000000000000
06511138381462520000001041432346154313316165109201117227316000000020316438188104000000171431365215201163621094411722722700000000104945109228499000000314801602391104175411227117163000000025213183841500000014714676529715515570541422711711000000005101381510625200000031614469105654160352165541322711725100000002832109453714800000016314313642181312662544422711760000000001044445122284990000006146426023922421010966117601630000000252116151093500000000000000000000
1661415119520421922400012325200531337320117821651010514227251000016375146222210629104000126148001268344602303948510549522714400000144101101614143822849900014412600148867230049567108211616460163000025112010110871310120230000251500352146201104041116248116416010000110661011511958221925200012325200512016830144244957116542603160000281551012773581462614800012622600126754460283954254116116602270000060111145725423814716600022612600104392776501652772920410583227163000063411412787132931350000000000000000000
26711081196225291010003362701741401602301446662514125156819325000022637251320691224703700011027704992505413499144117116126142511046442010000091441668491261651516300021950352263911031614864136031668124252000016527173813496925000041117011064102282521481602281558331610752168300006162111023292282954200060202306144313514811625141316832731110000316706363569313739000564012660542011261481171652814316316158130000085227166431166116385000645025239811025114410622414511725119520425100002196117106712446441470000000000000000000
3247414510622626144101711016371105623214416132520220625691710000281472161463392261551061446304992201662272462160163204541040126621435100000632420416638117144116227226499035216635210567452773832203012046941610000252277826310541144141122623001101631101012194148714410165015541076229000054124322714614414525226224017652306613474226820422002204980800000282287014251261447521922631601262201266070425163821222604994542698000002517013285411722611611714416602201262201162776223062123212601456257815600001672042262194122614661441700000000000000000
41151473918642136101441472264320002251213226104148144220016314425125246252252216382614713670532304160000512441483161481442260014414804626349910554453361168216302523066216300070109831042261441481630251148163616233616316040184114821440322268362104000111109251041041441481100110148110117626665228393821961822701043210462320001171091051483161441482510163148251110626252170109292288227701631601636225000203109441446314414814800148144044104166116544522811613230016016316045000241232316148148144163025114416327422816367153141314400000000000000000
5322711011720410967144100000000060131068239109716003161311102032273132511101461093714463000000000163706220437109542010499132040025154214401115412117226499000000000219277105216912702520252042200112015516374391222262300000000004149549524712391550832048302303271114420412642262240000000001441310620439124031302202042501261176631232191239226316000000000203216621337121210500204134990251146001018510925014416600000000010610611670441092162510111133160224411471636639109411441700000000000000000
668112111197114271150317349226650166156023011031632014420442700001631443210666021669222841061503555921482520011804993521632502870440000014414870592385921481462644158593226631260118002521263650641066211000002511489486601395925141621531582217433162300156166065230147227014549562227000011014866872612396746219515831719710411001611560163125166014413627100001631481647136601649633662277158353930226352016611801662511261010203706214000002261442165925412342261446441501244104316499011816603521263123027764410000220144106114527111337433415315012902205000000000000000
7691131521981461272297318350376147163397875712549611002517416310002032718853766616776332663161733157741572616663500126117132723520126111166251000014445109378463867812117035186133358277163352351161632017342201260416522420300025137383919473566164441163808623638521511041103612721141911707514455000110621810581100910013022191102727663244423328323011028017276434961100220272822400016371154480211918389912925116160367836319361267432751662501054983520126140251000022618123712273884938117499698678128111727717220113716131611665122012602110252126000220216109399417351104150412308732422314191000000000000000
854114153158451110228319351167022683016454192497411483964981912191016327189164012193590453701151351275023060110151380110114425149869239251001444510937291515852918451630219801356166062300393969431322863320118495155203025137383939126023553254522803998356118083226047104210491110435711898035011062151039858535890645101033631935687010432014754794531322625211851164224016371458587386185904589011025335627501631600518204603141482511185928316001484512372645158353384550219870351161016050393957131333610459249815114728025189382939386021278745155041480351498000000000000000
9381151541693814665161320352251396161016322668051115852954055710561166458216193219401819315469312262201664983522202511560166227857580177352432460020462063524735277291810938235632545144499156252220316498002521610850529373627336806411015654215815170123895735696315612301611220634961660123277216600387161697663281651171617322731051344183653561731810611016649622025139616101637160211490458906529724117113611669492167721910151933566153839251063522035211841560499226546170287357766638224401562473567394512665154441511716611825235263635001393761100151373267332531462521615421584952410938127715412781841163156357352163000000000000000
107035164444564813213531051597917613747127516187520530379166570011838849662414844706422422029452965165235327119535149911737204300166272276277253029601668180666012703763082154514443278219520469916125120189741156156300903195357570166050029662449621939701472031015445412004411953321012272111189100416716127510561513301611610231162327121616562166514740452191121957195376903802306689481275166167582146980166156015627859269463924219125239451071469919535511627512660892043000498331062530118003560737054243763499204454511712427823532469916135220137741156570382903681252156166027815669469216583783163251245120916705353144000000000000000
1132116661178210938146322318377123163244019532879229300388231388335571320123025162161442192771219109122673911930022416622785195795351166170818118818498119296252003706735262216126145412452278671287431662522637652869916138215422969822961559311260622512117320410466291215419992281163651462165283212721714141678080106810771080501174117113211661144241238219374112799451631456025287058022930027822927830193763511006354216227146146123165123810458837760149914454528782698166170351118356118861118352003712642516270284541091811711933125049913937619512431561543822722752726153041126054210461336120204226273910918411291331111049635749616600000000000
371117155022725327310940159274164144353441356790498805215315415585725776128147219352155641103011071333210954195578313535378235635101662751263242268295412862035239352220849962166014195543821687014230740195665356161050015669645852025415790311012191472206422661220071151908383955656914832319510293562720874112003746761069558104233653622036133614706014686838799311297445819544135680011817149611616601172358582220375165220228146224301231063763894956652517195782356698016635116658210412273593327702202925135216126142804681541237699125117679353766356161027516157112601029735678107525211016514735214614871630271209908123999229586722399841100000000000
972118156161022927411614500022930087000002262940705285780148108537640216118156156015669964219000161170698000002816542421632401263945528291859215611800818424170003001541610000014685372163676350277381533712330156118166080980132270002784142720000061729216418335066925420444903156118161022999849541000231300790000014439442435311760637853761021615611815601616991062190001611703510000020337109242165770026453553945635118156003516127016300038238216100000106937705913200671277216109221118156166079295136000802720000000000000
12731191571210016129832311811816141180016335222011003162772714489673167445625633122543546786940016673474011811815616127501663522202520203277428892410425145457371238119849666126001567584961181181662751610252220352499036712367371473527045941945389418613545210016156966011811816180411065220352163014767602737325144510093023898211911981001669593231181185702727901632203526502516761148371066332456779913815811915757100039693811811829616135104992203522520126676212637703163524545119541091198617371660029675852111829603511610224352220126062772242773714725121645100364410910031191194960057038766011829616600000000000000
133944158199016187276324354378870016366136774000281643740121044132774953910769501662727333243547412750016614424671110000316372918261224277673929123551260156351862354324874166002521166427750001146391278581466724298557363016127833135432486527200652511627714400051208858544104956710529725430016687865354324540870016332132777100020315587381085136721929294464300272874354324577698004991047027754200002513739453910924672773939123552801188183243243543821610011161066712300011064393810541621927770399573714015638854032435466527200000000000000
141537159200087275299271355379123161014410627000028164394045109246121232033245767969601563826972713557581101560230106400000251392945453727110251183864119126017011871335527163433001016450000110116293845263325112031243813367521035187379355271753201660116414400005160298545407773223051011881103196016769833035527111212316101046471000020315529745122169036512616418446799370296382396355271752115601636414000049922029394545373552520251383821967816603002727822713551042961660251066500006516539384529802117126182151312552102757956927135583171610000000000000
15107114562220762763001701283802564123202300000203183829851011611857116032158567638220714722382170128331579540433110000049912513981216380154146220451237166381042517413828631281705791195921104990000123252116168539121443889361172438261044957125197486541712817016810048121231630000172523138774432311092661013840662727725132929741412817093911041068981500001262521473939852620415693731314718542772513925165172441412817033157966411810000025225139371093745038210663383837203542262205773821701701287959602721166000011011653754391092262781492282043839144219272203817601701701281739911241232800000000000
1613120160381594130129735630038017243172220220220510464105542144621041428251324544165146228383838165433741356382363459227132202523522241636464273288499700251251454521970352543845292886438238217045922579458252352252499160106906396643521062512242517045828215511638154411799010003823001724311681030352220220163164106771030613227745251445392013120383854120112229738230038016838010753522523525316106105679148410442032513245949564250383838116433724382382331782331253251224251120310621973512637126370251251384564372519384526230664733356128782331581602522512521263136427325114625143161251824513241471163845401171068865356170168380127742523522521630000000
11741310620174527721200272300170128442193165826600118801441402874381585622202410649539453933611601613821701287832541467014001668182032400316109451237166241461462161545226242300351170128170614219216219500500156277352022420415382610414495146204544514562117079300128170852105131161170087231663205111153840663210514611640452196130272382128170113977116204610011817110414028833818542773528214621939451022711601614141281702273521921662000356166216002203845383749924641067018451442416306981701701283584952449512300278156672520110241838391041011161068254456162227080300170128852176132012270000000
0116616120270744452193571612311283003828000020365286500126325429730352277166697105542945102525701561281703823510001662240224000352153738640024126156277548154514443303001283823561610001101261101260011037298513252014148161145292954451458711662751283003564110005163516300230101447891550164271663302164474514611611621281703561710002035203123002031471093940302206706971165439451022015615612812835635100049914991004992244537386449907028156621091615451444331663001283823821610006512665126006570265413251014144156145102954452320161803823563822290000000000
07583871711556171543253583813971547900285010427632720312505902731061200016431563561146220386023255777431543510001016362126621661220355677106146000195166170166822854726188296335638216600110166061106110123252612158271146252007274335127225226495325127503483613822720052030147117147336172527119315314622800751991673881476111359112511175313273828000203502516125121262522501539451464100396936156154252106252388383255827433826980016611001266212667025225227167714610649900529284171662042304460218442651124215416100110126016012361106511117531161062510098010469822925227106325128427616300000000000000
17761211628722874663021943593591065000148610000203758957933412166161012665165215669816122517353241232529224000163620000166252892161287220156002528471661541661512034436332532518144166000101650000564377373319301611660655714965004981121041469919638512412030007422700001633371733337816616102303291212297925073232982100354851130500010461000012622837459336420161012665169416127511066316023183832544110000163620000022437701287410156002243241663561661511634033132579115144499000141100000126314637119363592161166012393769227811812022610634710011143821630000000000000
14181011630229171302553261153478510615000000126117495376481591626133561268318216501613517233767421537593252611011000000001219376271741216651280252383810035615621686524333158121041499000000514271376678925117603118652041814712601712291499247182910083596111630000001632749537695036561793801716015111163023180832551056418444325106110500000012622749537611559127761381812622845245015669839633266459036383829110100000001219376355741371101701661383835200154118204124377363644109104224166000000525376376380353117382272123823832126038823125127747135010875471120300000000000
184413164203230229127120147360276398137642526500006321183825801052714924326343838241604996516157727115727606781162610252224000012610616638230010537649538225238453716549911003567352308687667415303710922725249900009071275382471376495937697134529201316512627830225061240033110132494125216300003222816738246137610861092121313154482321631631621004313196986512913402192525000010441118382582376802903415228151211922512651566641531106183006781652972521000020314616638273337680221938225212458495203654993511581727329731871385411725212600003132526983821928024956917341318101051042302033881287250125136733199311924441252163000000000
8773016341616322916723127875333027313392500000000118382600183128403662126336495516127516138211011652649539204000000000414170125245373937616622421622003561663001668257749583911000000000500170931252242916204251656214712617127227522962506432042439155000000008730036125210144372168316361313163229872313882286752731339250000000011830087425214710937379031266011651616981564141231051236771653982000000000382170252138373937628170252166818166300161105123204116373911000000000278863723182268153104527775203802725001626228643204823975000000000
197820611854160123173273612300411800000203170126110110252110519601455416313635642316383811612963967516501613510000499123001101102521102528374538393761267221665445396315611030010035116100005126065110252110252926677381015363412692146457164981543293128080411000016316302301102241224108510091844659323017866159251231778415170272171000012650203110224116516331554371116356992201538116110433349733123016135600000110016611011022411025266645383910549972416644452910443365736349499035616100006549905110224119377351510204631068472641540321753773352030171229000000000000
20196871871515213032836232317171610000601011731649520416373960286249864216631443729386023806177226174331231610000163131232821933239373983839370741027112163938181577133335294961232800000219226499253763737166023982514125927251141654185589938674131911717166000061662038327177816602268748122075716637443811171254413803874335166000014414230634951538372660239542635870252612144371038325678679331713156651610000203204651262193763970398383937126540166195252204391245849106124552952165156000001061441663132713737396022637104412592722501488515117249296041312945433166000000000000
217912216514714725485623293313823994134321101700148105423049838822614498603250313251643229664165313252163253774374138276652930011012300163495246516635612624166170252376037643315421921920320479138226862733382253221110499001017014412627515627735235672361225131394950090321910425602542797427638217293932711020300328266163871626632802007183751030871092219321473985106329331382399168916110230003162015425118278104141187331176438986122729372192518325397437413827664597601106500126165821100382499700128252105499271296382106495126826023810432430038245933134911016600252414449927515667251356110212516344394927510964956310126127138186538270538078110280000000000
228000014725512529441402294143991052700014816561630251359260461427563536315400013767243971601614147661056200016316564230016621903243830007411701660002476021626381708183005291165000111116634990251699150431156642332720001019577822654228080300172105600003211614720301642287830236023181233317100014741610563985101027230043110561000631163170251120592347193500635783356000252271664840370166300276332277000126116146504992190759183820363128000024761204101091100356382253116650001011652261660253526651588671188013327200011112771150295483017138211031161170000000000
2381123652832417472330681561660229171126655163001044112665123164546465228644652511017220116220332175215616101613561666555001266406552523839110123387411231105499371636773571514961611660356161551231660014110230511021610117652049506131101231264227679759806016116601712291635123126001125016356510144265319884651231631643836623303871611610411388126512316300104120126565751091061101172546996565230252116177197277161161016135649951235002032190565110158110510974112311065081716108015110805700081815623012354990025252171236524103361232019917346565126411754229912051157016608016200000000000
2484426320166873033313633380001268382116610004992283710541054391651382985612001187363313633333510002512161162770000137391839381016511616393815312601613828353638353001660054952011656500023010681210544413116216398527310401662782763638353032720016361316511700016314584444449241162043971074008730336383527680001267524165410001261173710109291091611620139265454200118300363835331818001662527016564000065371645818101161658163815328016115433183536330016100171651161161100001631061610910547204165701654273104016650033383536376022900000000000000
2545391592008727820233233241163161022711620000126155874538605141712615545446806990156382396332332530230161051161060000022483945451033250110183820131816101701561513321762522800542116123000023064391094544241441262308218704006160351231120332176751014166066116227000016341398545543773220320316018291597930167500330332176120171660148116145000012625039104538396122304992281596807660296382133217612095161016311667000049965398454510332650110381510566616603001181511763322511561660411665000017219838454477144126513152163674720275167980176332754331660000000000000
15771145141238133300170128362256415433203000012652283944544411611861511175455467633712339633330017012836352927657017000016651873810380414116654538371663822011029730086312817019532449817499000017521929124438144500938144204382910449532110642303417128170169350861632800002851202985954323110561116018406627621101110276417128170380256994281630000499522839712442041565772533618542772511611046033141412817033152976616150000051810381045030016522438183720354352652973001281701285296661185000002305219261097382262754921171318391442197465117673617017012841310043041712600000000000
26822638159230433330017036241638044312365651632261162042771444148671261101554585131061173815382191183313003003631953311466565655163116116262837499290110110454520137110121545392829730030017019533119525165656516614116908252106352495316511024457024336165151540227994760300170416380169836565652811116167326132271163110101451020441411518544159327630030036216982910751101231101631041162471314854214410612611015545542011461441518381654338353003003635293631511105110520311620160212670126100110110384511637193845392307667513001285293634591045110549910111626631062511061045110134524242281163845711791630330017016982916832123651232030000000
2774821652047456271410229300170128444254204376100272388606201261473845541462207016520139451614449501613001701283637911162927700166154203390022438453810166241161167015453522042300356170128170158105391056500698156219251052044538442261410511624544566141170171300128170103124372043360087231611101631601518546132204116134045106741200229300128170442168237410011827822667012622815181092193522411610539452910411601613821281703318382012664000382166390065184518101262411616537184525182163081817017012864413391311000275156219220023082181840148101131652454456614600801701701281087216216242500000000
011661661473912109456716316623112817030038800049916349916300166155542985250352277166220243894529171611561281703003560000230023000065153718130024126166165389154522012603001281703001560001631661631660016370295470352014148166644543845742802751281703001620002031262031260020331344729320164270753910954452771631661621281703002780001262812620300126250109399101022067089824388545262301661561281283003820001661634991630001745371513126070281612193844454535216103001283003001610001634992034990020324265470316014144166120449384511281663883003003002290000000000
083748717115561713812364383301417171001662030144120104120499163602161010525003965421563561146220153593257611234173560001630163219282190163520485105201000332166170166822854359456661233823001610016300141141281754272420122000643633512722522649512181003931366300229002849907422874228126177139162011470014732167388147611185512152106833430038800126280104310461661714427360220116000252612156154252106252187868382974963001540001630126495126116017520485201105499001052841716620423044359188611080382300161001634990411010111631631483824105316003132266982292522710612385587812600000000000000
28841241678775662730519412384277163000144410000126250895793360316616601666136651186982246792516256663812262300002301460000166658921612833301660053311663821662712038536332578618316000062650000163106377373335921661660765870592500498443226643851001123827126000713360000126237173338121661660203121202317922871321009100338126420300014841000016611737459128801016101263498701563511621602847183594017000163640000053770128331016100230363166382166116163403318535945634990006211000001631063711933349816100163642472278272614410634712921218711260000000000000
251825126023117183256326365385122772302800000049960135735813804616356166228182428016135169737654033274135929230170000000123135733328352416312805381550038216124276773338753825117166000000286217620411935514887411816313152284990278229143804718291009126617126000000126613322041292567112480283152528023180111825510564183855410617163000000166144105204481380625218184992274524163015681813767243761127359101632300000000510520433222372301701662303838110004141561376120436373538220500000001631420415367852914435627216313181471660500231643127711503671008387423012600000000000
158524321262032311686322338612524710651630000104327230058220413617351228183821614166163156725204224753760737133910550000126165166300170204204133005184537134992300382838525429783587737386351660000425235130078220413577349201452982104163499278982228679100427619221696151260000661557930017320420412581234544241112612616295025833023031258240219516300001486272300520204204794432227151270144991631567242161158170354132940517000020311616630076020420420130051094581320316349935660217393313311518122265499000010125269830047120413582593131510204226281263881133306210043332557085615203000000000
29167412627412823179231278147160752621644140000000027230043217228123926542166144219163161351161382110821233251344370000000003001701754537720416652411003821663001668123372047441000000006981705215822910216631631433616627827227522910175142163944830000000087170174516044393932287431262318023138815525147267044542000000001183003565336109161061249910421920316181815641465246532513441600000000030017052303837442042817241230154166300161246527382104411000000000275863593230132610216226163425012638827250016225155111371644147000000000
30863121594128161334366126016238800004991260166203281632035933474538446124336031041838219163166320382203016138200001662800203281632031733145155477126331661245865166203300170038216100001264990203281632031636007351510937104432592219451025016128351616166038816200001261260126281632031632030215382666304124664585120281263043661260229278000016612604992816320316352135045187621186002204538219281266357512801613820000020300282031632031632245455424499276166544539110126281706354990382161000020300126203163163203665158451216316432229219457228126126121812934990278231000000000000
3183717410124519812915936738712612616600006025126148204167395412446227260325262633954157267376817247131661261660000163131262032042168537541254370333020416324851518741271333376320126166000002192511664247394412543925160327225226101738186011923804182501261260000061834996682261010125410743041718366322910918152100441659141166126000001441111261048237443954544454211860322067925181218791324151363219166203000002032042031268277543754125437126303166332520454184531811633327152031660000010625105422044416445454391041242592643601114438456041154312555111261660000000000000
32791258274147103814335331704004182752031260014424141264985002261449835614861225114272577821425283837496754170540271300203280023082822816638212624166170163770772830013204203204121822427673630027133117284990067372514993511182773523565215422511422669895820414825853832377303300255362334281260066701641268016766328012473232147668739820471147103862301386300400256113728126002262410112611827510414118874226142526211858020462139123932033330033192575128203002824204203030049970012816324499204504300105822882786151276170170925363635203000627025103511566725135647243161117143511928222610132518839943031702564003042031660000000000
338000014725612510121402314173622042000144204160126063160272347618351272333154000127172439548015641733120464000163204116126016620103631817002217016600082303248518170154170355821230004822201660542252600644939118600128272000101678782738228038817025682117000668214749907414786108710938731331710001471691252610914022917038024410001048231312603163136351139644698433333560002523557248121601611703782421900012682116203049910507541530003312800002043782049381100382300195204650006220431600142516037536782724323327200025362115403816402783004162043360000000000
34791261260666666336611660022927801661661660022660001447101014815335616620316635220435220411010616600161382001661660028116000126982005430316620316601016310521987100038216101661660006210001053735201658292722816616610611710622812060000278229001660007122800014529164071698012612616611160831012501450001625000016616600148160000104441010251193351126281662208217065106166001613820016616600203201000054204004430316128504071729230165123000154156016616600014352000116702510219380411126499010622862228322700038816200000000000
08012716817100000162388000002293350000000000000001563545283560000015641400000166333417000000000000001702433166000004171610000073312815600000000000003515796782720000050022900000869128231000000000000016712925638800000231278000004723327500000000000001183249251540000016130000000161331700000000000000086324331660000030016100000733128156000000000000069879522600000000000000000000000
0791271698000000231171000002274812750000000000000118666195356000001613560000023020430000000000000000170703316600000382166000002197411560000000000000818459939411000002782290000041125870000000000000871731104171000001623880000060471275000000000000011873735538200000156382000001720430000000000000000170773331660000038216100000165847118000000000000035158114400000000000000000000000
0801271687900000000000014411550000000000000001563545293560000000000001633323000000000000000017024303000000000000014672215600000000000003515793992720000000000001453671670000000000000871292568000000000000060360275000000000000011832427115400000000000017332170000000000000001702433166000000000000146847156000000000000069879522600000000000000000000000
07912727000000231278000004721282750000000000000296666670000001563820000016130330000000000000000170701260000003001660000075112815600000000000003514591440000002752310000027830387000000000000087173611660000016750000000229336980000000000000118737106166000001563000000016633300000000000000001707716300000030057000000733128296000000000000035158114400000000000000000000000
08012716817100000162388000006047150000000000000001563545283560000015641400000163204417000000000000001702433166000004171610000021936315600000000000003515793802720000050023100000413508700000000000001671292563880000023127800000227115275000000000000011832492515400000161300000002301531700000000000000086324331660000030016100000219324156000000000000069879522600000000000000000000000
079127169800000023127800000227115275000000000000011866619535600000156382000002303323000000000000000017070331660000030016600000146741156000000000000081845967841100000275231000001451004870000000000000871731104171000001672780000014411502750000000000000118737355382000005703000000016317630000000000000000170773331660000030015600000219741118000000000000035158114400000000000000000000000
0801271681710000023138800000229128500000000000000015635452835600000156414000001661283000000000000000017024331660000030016100000382170156000000000000035157967827200000500229000002781701670000000000000871292563880000023127800000229170275000000000000011832427115400000161300000001611701700000000000000017024331660000030016100000414128156000000000000069879522600000000000000000000000
0791271698000000231278000004111282750000000000000296666195356000001563820000016112830000000000000000170703316600000300166000003821281560000000000000351459678411000002752290000038812887000000000000087173110417100000167500000002291286980000000000000118737355382000001563000000016612830000000000000000170773331660000030057000000382128296000000000000035158114400000000000000000000000
087127168171000001623880000022930350000000000000001563545283560000015641400000166334170000000000000017024331660000041716100000733170156000000000000035157967827200000500229000001741282310000000000000167129256388000002312780000041112827500000000000001183249251540000016130000000161128170000000000000008632433166000003001610000038212815600000000000006987956782290000000000000000000000
079127169800000023127800000227481275000000000000011866619535600000156382000002302043000000000000000017070331660000030016600000219741156000000000000081845993941100000275231000004112587000000000000087173110417100000167278000006047127500000000000001187373553820000057030000000172043000000000000000017077333166000003001560000016584711800000000000003515813802720000000000000000000000
080128170171000000000000604815000000000000000156128170356000000000000163204300000000000000001701701281660000000000002197221560000000000000351170128272000000000000413501670000000000000871701283880000000000002271152750000000000000118170128154000000000000175731700000000000000017012817016600000000000021932415600000000000006981281702290000000000000000000000
07912817100000023127800000411128275000000000000029612835600000015638200000161128300000000000000001701280000000300166000003821281560000000000000351128272000000275231000003881288700000000000008712838800000016750000000229128698000000000000011812835600000015630000000166128300000000000000001701281660000003005700000038212829600000000000003511281282720000000000000000000000
0801271681710000016238800000604715000000000000000156354528356000001564140000016320441700000000000000170243316600000417161000002193631560000000000000351579678272000005002310000041350870000000000000167129256388000002312780000022711527500000000000001183249251540000016130000000230153170000000000000008632433166000003001610000021932415600000000000006987956782290000000000000000000000
079127169800000023127800000227481275000000000000011866619535600000156382000002302043000000000000000017070331660000030016600000219741156000000000000081845967841100000275229000004112587000000000000087173110417100000167278000006047127500000000000001187373553820000057030000000172043000000000000000017077333166000003001560000016584711800000000000003515813802720000000000000000000000
0801281701710000023138800000229128500000000000000015612817035600000156414000001661283000000000000000017017012816600000300161000003821701560000000000000351170128272000005001620000027817016700000000000008717012838800000231278000002291702750000000000000118170128154000001613000000016117017000000000000000170128170166000003001610000041412815600000000000006981281702290000000000000000000000
07912917280000002312780000041112827500000000000002963246813560000015638200000161128300000000000000001702412816600000300166000003821281560000000000000351579960411000002752290000038812823100000000000008712741317100000167500000002291286980000000000000118354353382000001563000000016612830000000000000000170204333166000003005700000038212829600000000000003514813802720000000000000000000000
0801271681710000016238800000229128500000000000000015635452835600000156414000001661284170000000000000017024331660000041716100000382170156000000000000035157938027200000500231000002781708700000000000001671292563880000023127800000229170275000000000000011832492515400000161300000001611701700000000000000086324331660000030016100000414128156000000000000069879522600000000000000000000000
079127169800000023127800000227115275000000000000011866619535600000156382000002303323000000000000000017070331660000030016100000146741156000000000000081845993941100000275231000001451004870000000000000871731104171000001672780000014411502750000000000000118737355382000005703000000016317630000000000000000170773331660000030015600000219741118000000000000035158114400000000000000000000000
08012812817100000000000060481500000000000000015612812835600000000000016320430000000000000000170128128166000000000000219722156000000000000035112812827200000000000041350167000000000000087128303388000000000000227115275000000000000011817033154000000000000175731700000000000000017033170166000000000000219324156000000000000069830327200000000000000000000000
0791281710000002311710000047212827500000000000002961283560000001613820000016130330000000000000000170128166000000300161000007511281560000000000000351128229000000275229000002783038700000000000008712838816600000162500000002293369800000000000001181283561660000015638200000166333000000000000000017012816100000038216100000733128296000000000000035112841100000000000000000000000
0801301738000000162388000001441155000000000000000156666682356000001564140000016333241700000000000000170204303000000417161000006436315600000000000003515818672720000050023100000259187000000000000016799116980000002312780000060360275000000000000011832419515400000161300000001733217000000000000000863204331660000030016100000146318156000000000000069847122600000000000000000000000
0791271698000000231278000002274812750000000000000118666195356000001563820000023020430000000000000000170703316600000300166000002197411560000000000000818459939411000002752310000041125870000000000000871731104171000001672780000060471275000000000000011873735538200000570300000001720430000000000000000170773331660000030015600000165847118000000000000035158114400000000000000000000000
0803312817100000231388000002293350000000000000001561283335600000156414000001667543000000000000000017033128166000003001610000073312815600000000000003513330327200000500229000003661281620000000000000871283338800000231278000004723327500000000000001181283315400000161300000001613317000000000000000170333170166000003001610000073312815600000000000006983322900000000000000000000000
079129168800000023127800000411128275000000000000029632452935600000156382000001611283000000000000000017020412816600000300166000003821281560000000000000351795678411000002752310000038812887000000000000087129168171000001675000000022912869800000000000001186665293820000015630000000166128300000000000000001703323331660000030057000000382128296000000000000035111514800000000000000000000000
080127711660000000000002291285000000000000000156354277166000000000000166128417000000000000001702428000000166000000382170156000000000000035157914400000000000002781708700000000000001671291450000000166000002291702750000000000000118741146000000016600000161170170000000000000004172443300000016600000015412815600000000000006987958672720000000000000000000000
0791272700000000000006041827500000000000001186666700000000000001737630000000000000000170704990000000000000106741156000000000000081845914400000000000006132687000000000000087173610000000000000144115275000000000000011873710600000000000001631053000000000000000017077203000000000000014674111800000000000003515813802720000000000000000000000
080331710000000000000604815000000000000000156128603000000000000016320430000000000000000170331660000000000000219722156000000000000035133592000000000000041350167000000000000087128124000000000000022711527500000000000001181287330000000000000175731700000000000000017033316600000000000002193241560000000000000698331282290000000000000000000000
0791281710000000000000472332750000000000000296128356000000000000012633300000000000000001701280000000000000073389315600000000000003511282720000000000000174338700000000000008712838800000000000004113369800000000000001181283560000000000000166333300000000000000001701281660000000000000100012829600000000000003511281282720000000000000000000000
